Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitECFPMorganFP/BRK_Random Forest,0.079439,0.500000,0.920561,5.130317e-07
RDKitECFPMorganFP/BRK_AdaBoost,0.178624,0.629292,0.911215,7.351231e-08
RDKitECFPMorganFP/BRK_Naive Bayes,0.124244,0.573007,0.906542,6.359200e-09
RDKitECFPMorganFP/BRK_QDA,0.091398,0.571066,0.210280,9.660948e-08
RDKitECFPMorganFP/BRK_PLS-DA,0.448069,0.876978,0.920561,6.260974e-07
RDKitECFPMorganFP/BRK_DNN,0.353428,0.835772,0.920561,2.088761e-05
RDKitECFPMorganFP/BTK_Nearest Neighbors,0.087559,0.585222,0.934272,1.523981e-08
RDKitECFPMorganFP/BTK_Linear SVM,0.114682,0.630296,0.929577,1.113680e-08
RDKitECFPMorganFP/BTK_RBF SVM,0.046948,0.497537,0.948357,3.694708e-08
RDKitECFPMorganFP/BTK_Gaussian Process,0.046948,0.500000,0.953052,2.969625e-06
RDKitECFPMorganFP/BTK_Decision Tree,0.046948,0.495074,0.943662,9.636904e-09
RDKitECFPMorganFP/BTK_Random Forest,0.046948,0.500000,0.953052,5.309052e-07
RDKitECFPMorganFP/BTK_AdaBoost,0.145364,0.637685,0.943662,7.405645e-08
RDKitECFPMorganFP/BTK_Naive Bayes,0.046948,0.495074,0.943662,6.437230e-09
RDKitECFPMorganFP/BTK_QDA,0.051247,0.543596,0.220657,8.492129e-08
RDKitECFPMorganFP/BTK_PLS-DA,0.214789,0.807389,0.934272,6.075673e-07
RDKitECFPMorganFP/BTK_DNN,0.212076,0.810345,0.953052,2.051569e-05
RDKitECFPMorganFP/BUB1_Nearest Neighbors,0.156102,0.540860,0.897196,2.615537e-08
RDKitECFPMorganFP/BUB1_Linear SVM,0.371307,0.706920,0.920561,1.428664e-08
RDKitECFPMorganFP/BUB1_RBF SVM,0.107477,0.500000,0.892523,3.734269e-08
RDKitECFPMorganFP/BUB1_Gaussian Process,0.223893,0.565217,0.906542,4.638764e-06
RDKitECFPMorganFP/BUB1_Decision Tree,0.204885,0.598224,0.897196,7.460908e-09
RDKitECFPMorganFP/BUB1_Random Forest,0.107477,0.500000,0.892523,5.255757e-07
RDKitECFPMorganFP/BUB1_AdaBoost,0.207919,0.628614,0.883178,7.458157e-08
RDKitECFPMorganFP/BUB1_Naive Bayes,0.166396,0.599021,0.864486,7.460372e-09
RDKitECFPMorganFP/BUB1_QDA,0.103077,0.475871,0.200935,8.241912e-08
RDKitECFPMorganFP/BUB1_PLS-DA,0.532393,0.821307,0.906542,6.199857e-07
RDKitECFPMorganFP/BUB1_DNN,0.413087,0.818347,0.892523,2.137066e-05
