Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitDescriptorsResults/CDK11_RBF SVM,0.065421,0.497500,0.929907,1.867301e-08
RDKitDescriptorsResults/CDK11_Gaussian Process,0.065421,0.500000,0.934579,1.512785e-06
RDKitDescriptorsResults/CDK11_Decision Tree,0.209994,0.635357,0.939252,1.278332e-08
RDKitDescriptorsResults/CDK11_Random Forest,0.065421,0.500000,0.934579,7.268668e-07
RDKitDescriptorsResults/CDK11_AdaBoost,0.204394,0.663571,0.929907,1.127091e-07
RDKitDescriptorsResults/CDK11_Naive Bayes,0.093655,0.653571,0.476636,4.241759e-09
RDKitDescriptorsResults/CDK11_QDA,0.065421,0.487500,0.911215,3.153530e-08
RDKitDescriptorsResults/CDK11_PLS-DA,0.405083,0.862143,0.934579,1.257299e-07
RDKitDescriptorsResults/CDK11_DNN,0.414825,0.865357,0.943925,2.024645e-05
RDKitDescriptorsResults/CDK2_Nearest Neighbors,0.166222,0.638026,0.967290,1.216454e-08
RDKitDescriptorsResults/CDK2_Linear SVM,0.213841,0.640442,0.971963,4.780547e-09
RDKitDescriptorsResults/CDK2_RBF SVM,0.032710,0.500000,0.967290,1.994516e-08
RDKitDescriptorsResults/CDK2_Gaussian Process,0.032710,0.500000,0.967290,1.711699e-06
RDKitDescriptorsResults/CDK2_Decision Tree,0.104997,0.630780,0.953271,1.140589e-08
RDKitDescriptorsResults/CDK2_Random Forest,0.170895,0.571429,0.971963,7.468998e-07
RDKitDescriptorsResults/CDK2_AdaBoost,0.340120,0.711870,0.976636,1.143952e-07
RDKitDescriptorsResults/CDK2_Naive Bayes,0.047632,0.631125,0.686916,4.175165e-09
RDKitDescriptorsResults/CDK2_QDA,0.032710,0.492754,0.953271,2.830719e-08
RDKitDescriptorsResults/CDK2_PLS-DA,0.337869,0.663906,0.967290,1.287378e-07
RDKitDescriptorsResults/CDK2_DNN,0.139926,0.405107,0.967290,1.957568e-05
RDKitDescriptorsResults/CDK7_Nearest Neighbors,0.222741,0.619949,0.934579,1.673503e-08
RDKitDescriptorsResults/CDK7_Linear SVM,0.201373,0.591225,0.934579,5.764947e-09
RDKitDescriptorsResults/CDK7_RBF SVM,0.074766,0.500000,0.925234,1.733899e-08
RDKitDescriptorsResults/CDK7_Gaussian Process,0.074766,0.500000,0.925234,1.965756e-06
RDKitDescriptorsResults/CDK7_Decision Tree,0.181610,0.638573,0.915888,1.288764e-08
RDKitDescriptorsResults/CDK7_Random Forest,0.074766,0.500000,0.925234,7.548695e-07
RDKitDescriptorsResults/CDK7_AdaBoost,0.123248,0.578598,0.911215,1.145303e-07
RDKitDescriptorsResults/CDK7_Naive Bayes,0.070554,0.466540,0.331776,4.676207e-09
